brand;model;version;registration_base_description;my_code;control;msrp;retail_bonus;trade_in_bonus;subsidized_rate_monthly;rate_cost;insurance_years;ipva_value;others_bonus;dealer_rebate;total_customer_benefit;comment;offer_month_code
Hyundai;Creta;N Line 1.0 TGDI AT;HYUNDAI/CRETA1TF NLINE;2526;Hyundai Creta N Line 1.0 TGDI AT 2526;189890;8000;0;0,006018;7500;0;0;0;5600;5600;0;202508
Jeep;Compass;Sport 1.3 TGDI AT;JEEP/COMPASS SPORT T;2526;Jeep Compass Sport 1.3 TGDI AT 2526;169990;0;0;0;;0;0;0;0;0;0;202508
Chery;Tiggo 8;Pro 1.5 TCI PHEV DHT;I/CAOACHERY TIGGO8 PHEV;2526;Chery Tiggo 8 Pro 1.5 TCI PHEV DHT 2526;269990;0;0;0;;0;0;0;0;0;0;202508
Chery;Tiggo 7;Pro 1.5 TCI HEV CVT;CAOACHERY/TIGGO7 PRO HA;2526;Chery Tiggo 7 Pro 1.5 TCI HEV CVT 2526;174990;0;0;0;;0;0;0;0;0;0;202508
VW;Nivus;Sense 1.0 TGDI AT;VW/NIVUS SENSE TSI;2526;VW Nivus Sense 1.0 TGDI AT 2526;119990;0;0;0,008012;1400;0;0;0;0;0;0;202508
VW;Nivus;Comfortline 1.0 TGDI AT;VW/NIVUS CL TSI;2526;VW Nivus Comfortline 1.0 TGDI AT 2526;146290;5000;5000;0,994048;8400;0;0;0;1000;1000;0;202508
VW;Nivus;Highline 1.0 TGDI AT;VW/NIVUS HL TSI;2526;VW Nivus Highline 1.0 TGDI AT 2526;163290;12800;5200;0,995036;5500;0;0;0;2000;2000;0;202508
VW;Nivus;GTS 1.4 TGDI AT;VW/NIVUS GTS;2526;VW Nivus GTS 1.4 TGDI AT 2526;179990;0;0;0,007018;5000;0;0;0;0;0;0;202508
VW;T-Cross;Sense 1.0 TGDI AT;VW/T CROSS SENSE TSI;2526;VW T-Cross Sense 1.0 TGDI AT 2526;119990;0;0;0,007018;3300;0;0;0;0;0;0;202508
VW;T-Cross;1.0 TGDI AT;VW/T CROSS TSI;2526;VW T-Cross 1.0 TGDI AT 2526;154990;8600;;0,006024;8200;0;0;0;0;0;0;202508
VW;T-Cross;Comfortline 1.0 TGDI AT;VW/T CROSS CL TSI;2526;VW T-Cross Comfortline 1.0 TGDI AT 2526;174290;7000;10000;0,006024;9200;0;0;0;0;0;0;202508
VW;T-Cross;Highline 1.4 TGDI AT;VW/T CROSS HL TSI;2526;VW T-Cross Highline 1.4 TGDI AT 2526;187490;10000;5000;0,00603;1200;0;0;0;2000;2000;0;202508
VW;T-Cross;Extreme 1.4 TGDI AT;VW/T CROSS EXTREME TSI;2526;VW T-Cross Extreme 1.4 TGDI AT 2526;191990;10000;5000;0,00603;1300;0;0;0;2000;2000;0;202508
VW;Taos;Comfortline 1.4 TGDI AT;I/VW TAOS CL TSI;2525;VW Taos Comfortline 1.4 TGDI AT 2525;206990;5000;0;0,006024;11000;0;0;0;0;0;0;202508
VW;Taos;Highline 1.4 TGDI AT;I/VW TAOS HL TSI;2525;VW Taos Highline 1.4 TGDI AT 2525;231990;10000;0;0,006024;12300;0;0;0;0;0;0;202508
VW;Tiguan;Allspace R-Line 2.0 TGDI AT;I/VW TIGUAN ALLSPACE RL;2525;VW Tiguan Allspace R-Line 2.0 TGDI AT 2525;305990;9000;11000;0,496024;10700;0;0;0;5000;5000;0;202508
VW;Tera;1.0 MPI MT;VW/TERA MPI;2526;VW Tera 1.0 MPI MT 2526;103990;0;0;0,008012;1200;0;0;0;0;0;0;202508
VW;Tera;1.0 TGDI MT;VW/TERA TSI;2526;VW Tera 1.0 TGDI MT 2526;116990;0;0;0,008012;1300;0;0;0;0;0;0;202508
VW;Tera;Comfort 1.0 TGDI AT;VW/TERA COMFORT TSI;2526;VW Tera Comfort 1.0 TGDI AT 2526;126990;5000;0;0,006018;5000;0;0;0;0;0;0;202508
VW;Tera;High 1.0 TGDI AT;VW/TERA HIGH TSI;2526;VW Tera High 1.0 TGDI AT 2526;139990;5000;0;0,006018;5600;0;0;0;0;0;0;202508
Nissan;Kicks;Sense 1.0 TGDI DCT;NISSAN/KICKS SENSE AT;2526;Nissan Kicks Sense 1.0 TGDI DCT 2526;164990;0;11200;0,007018;4600;0;0;0;800;800;0;202508
Nissan;Kicks;Advance 1.0 TGDI DCT;NISSAN/KICKS ADVANCE AT;2526;Nissan Kicks Advance 1.0 TGDI DCT 2526;175990;0;11200;0,007018;4900;0;0;0;800;800;0;202508
Nissan;Kicks;Exclusive 1.0 TGDI DCT;NISSAN/KICKS EXCLUSIV AT;2526;Nissan Kicks Exclusive 1.0 TGDI DCT 2526;182490;0;7200;0,007018;5100;0;0;0;300;300;0;202508
Nissan;Kicks;Platinum 1.0 TGDI DCT;NISSAN/KICKS PLATINUM AT;2526;Nissan Kicks Platinum 1.0 TGDI DCT 2526;199000;0;8500;0,007018;5500;0;0;0;510;510;0;202508
Geely;EX5;Pro EV;I/GEELY EX5 PRO;2526;Geely EX5 Pro EV 2526;205800;0;10000;0,995024;4600;0;0;4000;0;0;0;202508
Geely;EX5;Max EV;I/GEELY EX5 MAX;2526;Geely EX5 Max EV 2526;225800;0;10000;0,995024;5100;0;0;4000;0;0;0;202508
GWM;Ora 03;Skin EV;I/GWM ORA 03 SKIN BEV48;2526;GWM Ora 03 Skin EV 2526;169000;15000;10000;0,006032;11900;1;0;0;3080;3080;0;202508
GWM;Ora 03;GT EV;I/GWM ORA 03 GT BEV63;2526;GWM Ora 03 GT EV 2526;199000;10000;10000;0,006024;10500;1;0;0;3780;3780;0;202508
GWM;Haval H6;One 1.5 TGDI HEV DHT;I/GWM HAVAL H6 HEV;2525;GWM Haval H6 One 1.5 TGDI HEV DHT 2525;199000;0;10000;0,895036;8200;1;0;0;4000;4000;0;202508
GWM;Haval H6;2 1.5 TGDI HEV DHT;"I/GWM HAVAL H6 PREM HEV;I/GWM HAVAL H6 HEV2";2525;GWM Haval H6 2 1.5 TGDI HEV DHT 2525;220000;0;15000;0,006024;11700;1;0;0;5000;26700;0;202508
GWM;Haval H6;19 1.5 TGDI PHEV DHT;"I/GWM HAVAL H6 PHEV 19;I/GWM HAVAL H6 PHEV19";2525;GWM Haval H6 19 1.5 TGDI PHEV DHT 2525;245000;0;15000;0,006024;13000;1;0;0;5000;28000;0;202508
GWM;Haval H6;34 1.5 TGDI PHEV DHT;I/GWM HAVAL H6 PREM PHEV;2525;GWM Haval H6 34 1.5 TGDI PHEV DHT 2525;288000;0;25000;0,006024;15300;1;0;0;10000;40300;0;202508
GWM;Haval H6;GT 1.5 TGDI PHEV DHT;I/GWM HAVAL H6 GT;2525;GWM Haval H6 GT 1.5 TGDI PHEV DHT 2525;325000;0;25000;0,006024;17200;1;0;0;10000;10000;0;202508
BYD;Dolphin;GS EV;I/BYD DOLPHIN GS 180EV;2526;BYD Dolphin GS EV 2526;149990;0;5000;0;;0;0;0;0;0;0;202508
BYD;Dolphin;Mini GS EV;I/BYD DOLPHIN MINI GS EV;2526;BYD Dolphin Mini GS EV 2526;119990;0;0;0;;0;0;0;0;0;0;202508
BYD;Yuan Pro;GS EV;I/BYD YUAN PRO GS 290EV;2525;BYD Yuan Pro GS EV 2525;182800;0;13000;0,006024;9700;0;0;0;0;0;0;202508
BYD;Yuan Plus;GL EV;I/BYD YUAN PLUS GL 310EV;2526;BYD Yuan Plus GL EV 2526;235800;0;25000;0,006024;12500;0;0;0;0;0;0;202508
BYD;Song Pro;GS 1.5 PHEV DHT;I/BYD SONG PRO GS DM;2526;BYD Song Pro GS 1.5 PHEV DHT 2526;199990;0;10000;0;;1;0;0;0;0;0;202508
Jeep;Renegade;Sport 1.3 TGDI AT;JEEP/RENEGADE SPT T FLEX;2526;Jeep Renegade Sport 1.3 TGDI AT 2526;118290;0;0;0;;0;0;0;0;0;0;202508
Jeep;Renegade;Altitude 1.3 TGDI AT;JEEP/RENEGADE ALTIT T270;2526;Jeep Renegade Altitude 1.3 TGDI AT 2526;142990;0;8000;0;;0;0;0;0;0;0;202508
Jeep;Renegade;Longitude 1.3 TGDI AT;JEEP/RENEGADE LGTD T270;2526;Jeep Renegade Longitude 1.3 TGDI AT 2526;159990;0;9000;0,00603;1100;0;0;0;0;0;0;202508
Jeep;Renegade;Sahara 1.3 TGDI AT;JEEP/RENEGADE SAHARA;2526;Jeep Renegade Sahara 1.3 TGDI AT 2526;169990;0;5000;0,00503;1500;0;0;0;0;0;0;202508
Jeep;Renegade;Willys 1.3 TGDI AT 4x4;JEEP/RENEGADE WILLYS 4X4;2526;Jeep Renegade Willys 1.3 TGDI AT 4x4 2526;182990;0;0;0,00503;1600;0;0;0;0;0;0;202508
Jeep;Compass;Longitude 1.3 TGDI AT;JEEP/COMPASS LONG T;2526;Jeep Compass Longitude 1.3 TGDI AT 2526;192990;3000;5000;0,006024;10200;0;0;0;0;0;0;202508
Jeep;Compass;Serie S 1.3 TGDI AT;JEEP/COMPASS SERIE S T;2526;Jeep Compass Serie S 1.3 TGDI AT 2526;236990;2000;5000;0,006024;12600;0;0;0;0;0;0;202508
Jeep;Compass;Blackhawk 2.0 TGDI AT;JEEP/COMPASS BLACKHAWK;2526;Jeep Compass Blackhawk 2.0 TGDI AT 2526;279990;5000;5000;0,006024;14800;0;0;0;0;0;0;202508
Jeep;Commander;Longitude 1.3 TGDI AT;JEEP/COMMANDER LONG T;2525;Jeep Commander Longitude 1.3 TGDI AT 2525;240490;26000;0;0;;0;0;0;0;0;0;202508
Jeep;Commander;Overland 1.3 TGDI AT;"JEEP/COMMANDER OVR T;JEEP/COMMANDER OVE 7 270";2525;Jeep Commander Overland 1.3 TGDI AT 2525;280990;16000;0;0,00503;2500;0;0;0;0;0;0;202508
Jeep;Commander;Overland 2.2 TD AT 4x4;JEEP/COMMANDER OVR TD;2525;Jeep Commander Overland 2.2 TD AT 4x4 2525;314490;16000;0;0,00503;2800;0;0;0;0;0;0;202508
Jeep;Commander;Limited 1.3 TGDI AT;"JEEP/COMMANDER LIM T;JEEP/COMMANDER LIM 7 270";2525;Jeep Commander Limited 1.3 TGDI AT 2525;257990;16000;0;0,00503;2300;0;0;0;0;0;0;202508
Jeep;Commander;Overland Hurricane 2.0 TGDI AT 4x4;JEEP/COMMANDER OVR T 2.0;2525;Jeep Commander Overland Hurricane 2.0 TGDI AT 4x4 2525;323990;25000;0;0,00503;2900;0;0;0;0;0;0;202508
Jeep;Commander;Blackhawk Hurricane 2.0 TGDI AT 4x4;JEEP/COMMANDER BLACKHAWK;2525;Jeep Commander Blackhawk Hurricane 2.0 TGDI AT 4x4 2525;340990;18000;0;0,00503;3000;0;0;0;0;0;0;202508
Jaecoo;7;Luxury 1.5 TGDI PHEV DHT;I/JAECOO 7 LUXURY;2526;Jaecoo 7 Luxury 1.5 TGDI PHEV DHT 2526;229990;0;22500;0,006024;12200;0;0;0;6000;22500;0;202508
Jaecoo;7;Prestige 1.5 TGDI PHEV DHT;I/JAECOO 7 PRESTIGE;2526;Jaecoo 7 Prestige 1.5 TGDI PHEV DHT 2526;249990;0;15500;0,006024;13300;0;0;0;6000;15500;0;202508
Omoda;E5;EV;I/OMODA E5;2526;Omoda E5 EV 2526;209990;0;7500;0,006024;11100;0;0;0;6000;6000;0;202508
Fiat;Pulse;Drive 1.3 MT;FIAT/PULSE DRIVE MT;2526;Fiat Pulse Drive 1.3 MT 2526;99990;0;0;0;;0;0;0;0;0;0;202508
Fiat;Pulse;Drive 1.3 AT;FIAT/PULSE DRIVE AT;2526;Fiat Pulse Drive 1.3 AT 2526;111990;0;0;0;;0;0;0;0;0;0;202508
Fiat;Pulse;1.0 TGDI AT;FIAT/PULSE TURBO 200;2526;Fiat Pulse 1.0 TGDI AT 2526;116990;0;0;0,995036;4000;0;0;0;0;4000;0;202508
Fiat;Pulse;Audace 1.0 TGDI MHEV AT;FIAT/PULSE AUDACE HYB;2526;Fiat Pulse Audace 1.0 TGDI MHEV AT 2526;131990;0;0;0;;0;0;0;0;0;0;202508
Fiat;Pulse;Impetus 1.0 TGDI MHEV AT;FIAT/PULSE IMPETUS HYB;2526;Fiat Pulse Impetus 1.0 TGDI MHEV AT 2526;146990;0;10000;0,007018;4100;0;0;0;0;14100;0;202508
Fiat;Pulse;Abarth 1.3 TGDI AT;FIAT/PULSE ABARTH 270;2526;Fiat Pulse Abarth 1.3 TGDI AT 2526;157990;0;0;0;;0;0;0;0;0;0;202508
Fiat;Fastback;1.0 TGDI AT;FIAT/FASTBACK TURBO 200;2526;Fiat Fastback 1.0 TGDI AT 2526;119990;0;0;0;;0;0;0;0;0;0;202508
Fiat;Fastback;Audace 1.0 TGDI MHEV AT;FIAT/FASTBACK AUDACE HYB;2526;Fiat Fastback Audace 1.0 TGDI MHEV AT 2526;159990;0;0;0;;0;0;0;0;0;0;202508
Fiat;Fastback;Impetus 1.0 TGDI MHEV AT;FIAT/FASTBACK IMPETUS HY;2526;Fiat Fastback Impetus 1.0 TGDI MHEV AT 2526;167990;7000;18000;0,007018;4700;0;0;0;0;29700;0;202508
Fiat;Fastback;Limited Edition 1.3 TGDI AT;FIAT/FASTBACK LIMITED ED;2526;Fiat Fastback Limited Edition 1.3 TGDI AT 2526;171990;7000;13000;0,007018;4800;0;0;0;0;24800;0;202508
Fiat;Fastback;Abarth 1.3 TGDI AT;FIAT/FASTBACK ABARTH 270;2526;Fiat Fastback Abarth 1.3 TGDI AT 2526;177990;0;8000;0,007018;4900;0;0;0;0;12900;0;202508
BYD;Yuan Plus;GL EV;I/BYD YUAN PLUS GL 310EV;2526;BYD Yuan Plus GL EV 2526;235990;0;25000;0,006024;12500;0;0;0;0;44579,7;0;202509
BYD;Yuan Pro;GS EV;I/BYD YUAN PRO GS 290EV;2525;BYD Yuan Pro GS EV 2525;182990;0;13000;0,006024;9700;0;0;0;0;28189,7;0;202509
VW;Tera;1.0 MPI MT;VW/TERA MPI;2526;VW Tera 1.0 MPI MT 2526;105890;0;0;0,008012;1200;0;0;0;0;1200;0;202509
VW;Tera;1.0 TGDI MT;VW/TERA TSI;2526;VW Tera 1.0 TGDI MT 2526;118890;0;0;0,008012;1400;0;0;0;0;1400;0;202509
VW;Tera;Comfort 1.0 TGDI AT;VW/TERA COMFORT TSI;2526;VW Tera Comfort 1.0 TGDI AT 2526;128890;5000;0;0,006018;5100;0;0;0;0;10100;0;202509
VW;Tera;High 1.0 TGDI AT;VW/TERA HIGH TSI;2526;VW Tera High 1.0 TGDI AT 2526;141890;5000;0;0,006018;5600;0;0;0;0;10600;0;202509
Toyota;Corolla Cross;XR 2.0 CVT;TOYOTA/CCROSS XR 20;2526;Toyota Corolla Cross XR 2.0 CVT 2526;188990;0;0;0;;0;0;0;0;0;0;202509
BYD;Dolphin;Plus EV;I/BYD DOLPHIN PLUS 310EV;2525;BYD Dolphin Plus EV 2525;184800;15000;0;0,00603;12200;0;0;0;0;15000;0;202508
BYD;Song Pro;GL 1.5 PHEV DHT;I/BYD SONG PRO GL DM;2526;BYD Song Pro GL 1.5 PHEV DHT 2526;189990;0;10000;0;;0;0;0;0;10000;0;202509
BYD;Song Pro;GS 1.5 PHEV DHT;I/BYD SONG PRO GS DM;2526;BYD Song Pro GS 1.5 PHEV DHT 2526;199990;0;5000;0;;1;0;0;0;10999,7;0;202509
BYD;Song Plus;GS 1.5 PHEV DHT;I/BYD SONG PLUS GS DM;2526;BYD Song Plus GS 1.5 PHEV DHT 2526;249990;0;5000;0,00603;16600;1;0;0;0;29099,7;0;202509
BYD;Song Plus;Premium 1.5 TGDI PHEV DHT;I/BYD SONG PLUS PREM DM;2526;BYD Song Plus Premium 1.5 TGDI PHEV DHT 2526;299800;0;7000;0,00603;19900;1;0;0;0;35894;0;202509
GAC;GS4;Premium 2.0 HEV CVT;I/GAC GS4 PREMIUM;2526;GAC GS4 Premium 2.0 HEV CVT 2526;191990;0;20000;0,005036;20200;0;0;0;0;40200;0;202509
GAC;GS4;Elite 2.0 HEV CVT;I/GAC GS4 ELITE;2526;GAC GS4 Elite 2.0 HEV CVT 2526;209990;0;10000;0,006012;5300;0;0;0;0;15300;0;202509
GAC;Aion V;Elite EV;I/GAC AION V ELITE;2526;GAC Aion V Elite EV 2526;214990;0;10000;0,006012;5700;0;0;0;0;15700;0;202509
GWM;Haval H6;One 1.5 TGDI HEV DHT;I/GWM HAVAL H6 HEV;2525;GWM Haval H6 One 1.5 TGDI HEV DHT 2525;199000;0;15000;0,006024;10500;1;0;0;5000;25500;0;202509
GWM;Haval H6;2 1.5 TGDI HEV DHT;"I/GWM HAVAL H6 PREM HEV;I/GWM HAVAL H6 HEV2";2525;GWM Haval H6 2 1.5 TGDI HEV DHT 2525;220000;0;15000;0,006024;11700;1;0;0;5000;26700;0;202509
GWM;Haval H6;19 1.5 TGDI PHEV DHT;"I/GWM HAVAL H6 PHEV 19;I/GWM HAVAL H6 PHEV19";2525;GWM Haval H6 19 1.5 TGDI PHEV DHT 2525;245000;0;15000;0,006024;13000;1;0;0;5000;28000;0;202509
GWM;Haval H6;34 1.5 TGDI PHEV DHT;I/GWM HAVAL H6 PREM PHEV;2525;GWM Haval H6 34 1.5 TGDI PHEV DHT 2525;288000;0;25000;0,006024;15300;1;0;0;10000;40300;0;202509
GWM;Haval H6;GT 1.5 TGDI PHEV DHT;I/GWM HAVAL H6 GT;2525;GWM Haval H6 GT 1.5 TGDI PHEV DHT 2525;325000;0;25000;0,006024;17200;1;0;0;10000;42200;0;202509
GWM;Ora 03;Skin EV;I/GWM ORA 03 SKIN BEV48;2526;GWM Ora 03 Skin EV 2526;169000;15000;10000;0,006032;11900;1;0;0;3080;10000;0;202509
GWM;Ora 03;GT EV;I/GWM ORA 03 GT BEV63;2526;GWM Ora 03 GT EV 2526;199000;10000;10000;0,006024;10500;1;0;0;3780;10000;0;202509
Jeep;Renegade;Longitude 1.3 TGDI AT;JEEP/RENEGADE LGTD T270;2526;Jeep Renegade Longitude 1.3 TGDI AT 2526;159990;3000;9000;0,00503;14200;0;0;0;0;26200;0;202509
Jeep;Renegade;Sahara 1.3 TGDI AT;JEEP/RENEGADE SAHARA;2526;Jeep Renegade Sahara 1.3 TGDI AT 2526;169990;0;5000;0,00603;11300;0;0;0;0;16300;0;202509
Jeep;Renegade;Willys 1.3 TGDI AT 4x4;JEEP/RENEGADE WILLYS 4X4;2526;Jeep Renegade Willys 1.3 TGDI AT 4x4 2526;182990;0;0;0,00603;12100;0;0;0;0;12100;0;202509
Jeep;Compass;Sport 1.3 TGDI AT;JEEP/COMPASS SPORT T;2526;Jeep Compass Sport 1.3 TGDI AT 2526;169990;7500;0;0;;0;0;0;0;7500;0;202509
Jeep;Compass;Longitude 1.3 TGDI AT;JEEP/COMPASS LONG T;2526;Jeep Compass Longitude 1.3 TGDI AT 2526;192990;3000;5000;0,00503;17100;0;0;0;0;25100;0;202509
Jeep;Compass;Serie S 1.3 TGDI AT;JEEP/COMPASS SERIE S T;2526;Jeep Compass Serie S 1.3 TGDI AT 2526;236990;2000;8000;0,00603;15700;0;0;0;0;25700;0;202509
Jeep;Compass;Blackhawk 2.0 TGDI AT;JEEP/COMPASS BLACKHAWK;2526;Jeep Compass Blackhawk 2.0 TGDI AT 2526;279990;5000;5000;0,00603;18600;0;0;0;0;28600;0;202509
Jeep;Commander;Longitude 1.3 TGDI AT;JEEP/COMMANDER LONG T;2526;Jeep Commander Longitude 1.3 TGDI AT 2526;220990;0;2500;0;;0;0;0;0;2500;0;202509
Jeep;Commander;Overland 1.3 TGDI AT;"JEEP/COMMANDER OVR T;JEEP/COMMANDER OVE 7 270";2526;Jeep Commander Overland 1.3 TGDI AT 2526;273990;0;16500;0;;0;0;0;0;16500;0;202509
Jeep;Commander;Overland 2.2 TD AT 4x4;JEEP/COMMANDER OVR TD;2526;Jeep Commander Overland 2.2 TD AT 4x4 2526;308490;0;18500;0;;0;0;0;0;18500;0;202509
Jeep;Commander;Limited 1.3 TGDI AT;"JEEP/COMMANDER LIM T;JEEP/COMMANDER LIM 7 270";2526;Jeep Commander Limited 1.3 TGDI AT 2526;246990;0;14500;0;;0;0;0;0;14500;0;202509
Jeep;Commander;Overland Hurricane 2.0 TGDI AT 4x4;JEEP/COMMANDER OVR T 2.0;2526;Jeep Commander Overland Hurricane 2.0 TGDI AT 4x4 2526;324990;0;19500;0;;0;0;0;0;19500;0;202509
Volvo;EX30;Core EV;I/VOLVO EX30 E40 CORE;2424;Volvo EX30 Core EV 2424;229950;0;20000;0,005036;24500;0;0;0;0;44500;0;202509
Volvo;EX30;Core ER EV;I/VOLVO EX30 E60 CORE;2424;Volvo EX30 Core ER EV 2424;249950;0;20000;0,005036;26600;0;0;0;0;46600;0;202509
Volvo;EX30;Plus EV;I/VOLVO EX30 E60 PLUS;2424;Volvo EX30 Plus EV 2424;269950;0;20000;0,005036;28700;0;0;0;0;48700;0;202509
Volvo;EX30;Ultra EV;I/VOLVO EX30 E60 ULTRA;2424;Volvo EX30 Ultra EV 2424;299950;0;20000;0,005036;31900;0;0;0;0;51900;0;202509
Omoda;E5;EV;I/OMODA E5;2526;Omoda E5 EV 2526;209990;0;10000;0,006024;11100;0;0;0;6000;21100;0;202509
Geely;EX5;Pro EV;I/GEELY EX5 PRO;2526;Geely EX5 Pro EV 2526;205800;10000;6000;0,896036;6300;0;0;4000;0;22300;0;202509
Hyundai;Creta;Comfort 1.0 TGDI AT;HYUNDAI/CRETA1TF COMFORT;2526;Hyundai Creta Comfort 1.0 TGDI AT 2526;151290;10000;0;0,006018;6000;0;0;0;3300;16000;0;202509
Hyundai;Creta;Limited 1.0 TGDI AT;HYUNDAI/CRETA1TF LIMITED;2526;Hyundai Creta Limited 1.0 TGDI AT 2526;167290;15000;0;0,006018;6700;0;0;0;5000;21700;0;202509
Hyundai;Creta;Platinum 1.0 TGDI AT;HYUNDAI/CRETA1TF PLATINU;2526;Hyundai Creta Platinum 1.0 TGDI AT 2526;182890;6000;0;0,006018;7300;0;0;0;0;13300;0;202509
Hyundai;Creta;N Line 1.0 TGDI AT;HYUNDAI/CRETA1TF NLINE;2526;Hyundai Creta N Line 1.0 TGDI AT 2526;189890;6000;0;0,006018;7500;0;0;0;0;13500;0;202509
Hyundai;Creta;Ultimate 1.6 TGDI DCT;HYUNDAI/CRETA16G ULTIMTE;2526;Hyundai Creta Ultimate 1.6 TGDI DCT 2526;199590;6000;0;0,006018;7900;0;0;0;0;13900;0;202509
GWM;Haval H9;Exclusive 2.4 TD AT;I/GWM HAVAL H9 EXC;2526;GWM Haval H9 Exclusive 2.4 TD AT 2526;319000;0;0;0;;0;0;0;0;0;0;202509
Honda;ZR-V;Touring 2.0 CVT;I/HONDA ZR-V TOURING;2525;Honda ZR-V Touring 2.0 CVT 2525;214500;0;0;0;;0;0;0;0;0;0;202509
Chery;Tiggo 7;Pro 1.5 TCI PHEV DHT;I/CAOACHERY TIGGO7 PHEV;2526;Chery Tiggo 7 Pro 1.5 TCI PHEV DHT 2526;219990;0;0;0;;0;0;0;0;0;0;202510
Chery;Tiggo 7;Sport 1.5 TCI CVT;CAOACHERY/TIGGO7 SPORT;2526;Chery Tiggo 7 Sport 1.5 TCI CVT 2526;139990;0;0;0;;0;0;0;0;0;0;202510
Chery;Tiggo 7;Pro Max Drive 1.6 TGDI DCT;CAOACHERY/TIGGO7 PRO16TA;2526;Chery Tiggo 7 Pro Max Drive 1.6 TGDI DCT 2526;169990;0;0;0;;0;0;0;0;0;0;202510
Chery;Tiggo 8;Pro 1.6 TGDI DCT;CAOACHERY/TIGGO8 16TA;2526;Chery Tiggo 8 Pro 1.6 TGDI DCT 2526;194990;0;0;0;;0;0;0;0;0;0;202510
Chery;Tiggo 7;Pro 1.5 TCI HEV CVT;CAOACHERY/TIGGO7 PRO HA;2526;Chery Tiggo 7 Pro 1.5 TCI HEV CVT 2526;169990;0;0;0;;0;0;0;0;0;0;202510
GAC;Aion V;Elite EV;I/GAC AION V ELITE;2526;GAC Aion V Elite EV 2526;219990;0;10000;0,007024;8100;0;0;0;5000;10000;0;202510
Geely;EX5;Pro EV;I/GEELY EX5 PRO;2526;Geely EX5 Pro EV 2526;205800;25000;0;0,006018;8200;0;0;4000;0;33200;0;202510
Fiat;Pulse;Drive 1.3 AT;FIAT/PULSE DRIVE AT;2526;Fiat Pulse Drive 1.3 AT 2526;112990;0;2000;0;;0;0;0;0;2000;0;202510
Fiat;Pulse;Audace 1.0 TGDI MHEV AT;FIAT/PULSE AUDACE HYB;2526;Fiat Pulse Audace 1.0 TGDI MHEV AT 2526;132990;0;9000;0,007018;3700;0;0;0;0;12700;0;202510
Fiat;Fastback;Audace 1.0 TGDI MHEV AT;FIAT/FASTBACK AUDACE HYB;2526;Fiat Fastback Audace 1.0 TGDI MHEV AT 2526;160990;7000;17000;0,007018;4500;0;0;0;0;28500;0;202510
GM;Tracker;LT 1.0 TGDI AT;"I/CHEV TRACKER T A LT;CHEV/TRACKER T A LT";2526;GM Tracker LT 1.0 TGDI AT 2526;142490;0;0;0;;0;0;0;0;0;0;202510
GM;Tracker;LTZ 1.0 TGDI AT;CHEV/TRACKER T A LTZ;2526;GM Tracker LTZ 1.0 TGDI AT 2526;157690;0;0;0;;0;0;0;0;0;0;202510
GM;Tracker;Premier 1.2 TGDI AT;"I/CHEV TRACKER 12T A PR;CHEV/TRACKER 12T A PR";2526;GM Tracker Premier 1.2 TGDI AT 2526;174990;0;0;0;;0;0;0;0;0;0;202510
GM;Tracker;RS 1.2 TGDI AT;CHEV/TRACKER 12T A RS;2526;GM Tracker RS 1.2 TGDI AT 2526;175990;0;0;0;;0;0;0;0;0;0;202510
GWM;Ora 03;GT EV;I/GWM ORA 03 GT BEV63;2526;GWM Ora 03 GT EV 2526;189000;15000;10000;0,006024;10000;1;0;0;3780;25000;0;202510
GWM;Ora 03;Skin EV;I/GWM ORA 03 SKIN BEV48;2526;GWM Ora 03 Skin EV 2526;154000;15000;10000;0,006032;10900;1;0;0;3080;25000;0;202510
Nissan;Kicks;Sense 1.0 TGDI DCT;NISSAN/KICKS SENSE AT;2526;Nissan Kicks Sense 1.0 TGDI DCT 2526;166990;0;17300;0,007018;4600;0;0;0;2700;21900;0;202510
Nissan;Kicks;Advance 1.0 TGDI DCT;NISSAN/KICKS ADVANCE AT;2526;Nissan Kicks Advance 1.0 TGDI DCT 2526;177990;0;17300;0,007018;4900;0;0;0;2700;22200;0;202510
Nissan;Kicks;Exclusive 1.0 TGDI DCT;NISSAN/KICKS EXCLUSIV AT;2526;Nissan Kicks Exclusive 1.0 TGDI DCT 2526;184790;0;13500;0,007018;5100;0;0;0;1500;18600;0;202510
VW;Nivus;Comfortline 1.0 TGDI AT;VW/NIVUS CL TSI;2526;VW Nivus Comfortline 1.0 TGDI AT 2526;149990;5000;5000;0,994048;8600;0;0;0;1000;18600;0;202510
VW;Nivus;Highline 1.0 TGDI AT;VW/NIVUS HL TSI;2526;VW Nivus Highline 1.0 TGDI AT 2526;165990;12800;5200;0,995036;5600;0;0;0;2000;23600;0;202510
VW;Nivus;GTS 1.4 TGDI AT;VW/NIVUS GTS;2526;VW Nivus GTS 1.4 TGDI AT 2526;182990;0;0;0,007018;5100;0;0;0;0;5100;0;202510
VW;T-Cross;1.0 TGDI AT;VW/T CROSS TSI;2526;VW T-Cross 1.0 TGDI AT 2526;155990;5136;0;0,008012;1800;0;0;0;2000;6936;0;202510
VW;T-Cross;Comfortline 1.0 TGDI AT;VW/T CROSS CL TSI;2526;VW T-Cross Comfortline 1.0 TGDI AT 2526;175990;7000;10000;0,006024;9300;0;0;0;0;26300;0;202510
